,PredCorr,linear Run 1,linear Run 2,linear Run 3,linear Run 4,linear Run 5,linear Run 6,linear Run 7,linear Run 8,linear Run 9,linear Run 10
1,tot.MSE,675.037058040277,127961.280725519,131186.581747335,125978.889662212,877.047984243778,128495.171334062,129132.146096903,127734.127061691,1378.55467783908,838.665610577206
2,R2,0.2934,0.002727,0.07627,0.06206,0.138,0.002482,0.05829,0.4135,0.3701,0.1406
