,PredCorr,radial Run 1,radial Run 2,radial Run 3,radial Run 4,radial Run 5,radial Run 6,radial Run 7,radial Run 8,radial Run 9,radial Run 10
1,tot.MSE,5005.10903870721,417521.600159015,422563.022321726,4442.28531013475,433442.684258862,4309.48316972259,430956.412574248,438921.469734476,424812.954458271,414162.002017027
2,R2,0.149,0.02951,0.3309,0.2315,0.08152,0.2333,0.4682,0.05876,0.6446,0.3645
