,PredCorr,linear Run 1,linear Run 2,linear Run 3,linear Run 4,linear Run 5,linear Run 6,linear Run 7,linear Run 8,linear Run 9,linear Run 10
1,tot.MSE,1857.77877457941,2192.40031962848,2066.16091076209,1807.22235886401,1809.60525953702,2513.71858365531,1911.27555745012,2073.30227735498,1926.4352442666,2311.17147021602
2,R2,0.5017,0.5829,0.8508,0.5615,0.1545,0.5496,0.5946,0.4246,0.4683,0.6898
