,PredCorr,linear Run 1,linear Run 2,linear Run 3,linear Run 4,linear Run 5,linear Run 6,linear Run 7,linear Run 8,linear Run 9,linear Run 10
1,tot.MSE,882.604339700815,702.445955933495,1261.38493316517,787.611553665977,676.214502928503,640.470842173092,699.500071206113,1001.21039832916,1044.66191913078,1188.90856461011
2,R2,0.7749,0.5336,0.9216,0.8744,0.9287,0.7111,0.8272,0.9143,0.9212,0.5802
