,PredCorr,radial Run 1,radial Run 2,radial Run 3,radial Run 4,radial Run 5,radial Run 6,radial Run 7,radial Run 8,radial Run 9,radial Run 10
1,tot.MSE,544.964455762047,543.512081862421,706.918153656893,708.690372004248,413.370435989496,933.363925010841,658.581410497491,777.348309528157,486.158429016089,878.347946941042
2,R2,0.8748,0.95,0.919,0.8715,0.8611,0.8943,0.8564,0.8739,0.8218,0.9095
