,PredCorr,linear Run 1,linear Run 2,linear Run 3,linear Run 4,linear Run 5,linear Run 6,linear Run 7,linear Run 8,linear Run 9,linear Run 10
1,tot.MSE,2252.97311828937,2058.93814416929,2268.40412786283,2791.49871354782,2787.29461650873,2519.11745729937,1913.11221298846,2866.19988136924,2695.71839370585,2416.49795552456
2,R2,0.4068,0.4193,0.575,0.391,0.4179,0.5689,0.2365,0.571,0.5935,0.5577
