,PredCorr,linear Run 1,linear Run 2,linear Run 3,linear Run 4,linear Run 5,linear Run 6,linear Run 7,linear Run 8,linear Run 9,linear Run 10
1,tot.MSE,5675.28993636124,6434.31662240609,6093.30995619988,8813.49121754613,5686.42775266053,5120.6723338601,6593.39465487273,6925.97788381569,6866.94259362598,5421.54144148599
2,R2,0.2402,0.3729,0.3377,0.5758,0.2402,-0.01339,0.5657,0.4626,0.3683,0.3911
