,PredCorr,linear Run 1,linear Run 2,linear Run 3,linear Run 4,linear Run 5,linear Run 6,linear Run 7,linear Run 8,linear Run 9,linear Run 10
1,tot.MSE,5519.04343057746,4153.78675291103,6390.88568086695,4757.83541148634,5564.35863909695,5671.24075742517,5820.60846618887,5864.61247598821,5458.62968382722,5773.95284188138
2,R2,0.4362,0.2573,0.04711,-0.05259,0.2384,0.264,0.1474,0.5093,0.4482,0.4996
